sec6-res-util-lego-c4m2,,1299,,lego,,1,,520,,579,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1302,,lego,,1,,520,,579,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1306,,lego,,1,,519,,551,,46,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1308,,lego,,1,,520,,551,,42,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1310,,lego,,1,,519,,548,,39,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1385,,lego,,1,,527,,585,,77,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1388,,lego,,1,,521,,581,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1391,,lego,,1,,521,,581,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1394,,lego,,1,,521,,582,,74,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1397,,lego,,1,,521,,570,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1400,,lego,,1,,521,,583,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1403,,lego,,1,,521,,566,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1405,,lego,,1,,536,,598,,90,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1409,,lego,,1,,522,,582,,74,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1412,,lego,,1,,520,,579,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
