sec6-res-util-lego-c6m2,,1858,,lego,,6,,585,,624,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1861,,lego,,6,,588,,644,,70,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1864,,lego,,6,,586,,626,,52,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1866,,lego,,6,,582,,643,,68,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1869,,lego,,6,,584,,1005,,480,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1884,,lego,,6,,585,,1011,,476,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1900,,lego,,6,,585,,1047,,485,,1.0,,[[0 0 1 6]
 [2 2 2 2]]
sec6-res-util-lego-c6m2,,1915,,lego,,6,,585,,1054,,583,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1934,,lego,,6,,585,,1024,,451,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1948,,lego,,6,,586,,1062,,507,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1964,,lego,,6,,586,,647,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1967,,lego,,6,,587,,648,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1970,,lego,,6,,585,,645,,70,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1973,,lego,,6,,585,,634,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1976,,lego,,6,,584,,648,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1979,,lego,,6,,583,,644,,70,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1982,,lego,,6,,584,,644,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1985,,lego,,6,,584,,1025,,517,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,2001,,lego,,6,,586,,1039,,481,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,2017,,lego,,6,,584,,1057,,587,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,2035,,lego,,6,,584,,1055,,588,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,2053,,lego,,6,,585,,1016,,483,,1.0,,[[0 0 1 6]
 [2 2 2 2]]
sec6-res-util-lego-c6m2,,2069,,lego,,6,,586,,633,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2071,,lego,,6,,584,,627,,52,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2074,,lego,,6,,584,,630,,55,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,2076,,lego,,6,,584,,613,,38,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
